All calculations;LOAD1;LOAD2;LOAD3;LOAD4;LOAD5;LOAD6;LOAD7;LOAD8;LOAD9;LOAD10;LOAD11;LOAD12;LOAD13;LOAD14;LOAD15;LOAD16;LOAD17;LOAD18;LOAD19;LOAD20;LOAD21;LOAD22;LOAD23;LOAD24;LOAD25;LOAD26;LOAD27;LOAD28;LOAD29;LOAD30;LOAD31;LOAD32;LOAD33;LOAD34;LOAD35;LOAD36;LOAD37;LOAD38;LOAD39;LOAD40;LOAD41;LOAD42;LOAD43;LOAD44;LOAD45;LOAD46;LOAD47;LOAD48;LOAD49;LOAD50;LOAD51;LOAD52;LOAD53;LOAD54;LOAD55
"Time in s";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW";"Total Active Power in kW"
67580.000000;0.036000;0.044000;0.054000;0.048000;0.035000;0.052000;0.055000;0.043000;0.059000;0.057000;0.049000;0.092000;0.056000;0.049000;0.053000;0.087000;0.048000;0.049000;0.053000;0.051000;0.045000;0.054000;0.055000;0.054000;0.050000;0.034000;0.051000;0.028000;0.054000;0.053000;0.053000;0.056000;0.057000;0.045000;0.043000;0.055000;0.045000;0.052000;0.048000;0.043000;0.052000;0.054000;0.050000;0.029000;0.053000;0.062000;0.045000;0.046000;0.054000;0.052000;0.053000;0.052000;0.047000;0.048000;0.055000
67580.050000;0.569529;1.583671;0.320209;1.573784;0.185986;0.133604;0.374342;0.363564;0.499678;0.058704;0.099957;0.073462;0.310020;0.225788;0.054531;0.332823;0.300692;0.429424;0.292203;0.445394;0.128887;0.337389;1.633208;0.301974;0.156198;0.068671;1.480147;0.028719;0.292077;0.465808;0.331661;0.256557;1.776822;0.302063;0.106216;0.462262;0.046058;0.512163;0.344763;0.044041;0.237741;0.266455;0.051171;0.029726;0.217139;0.237180;0.145157;0.271463;0.270662;0.189124;1.866481;0.280281;0.297253;0.150328;0.262782
67580.100000;1.101273;3.115409;0.585539;3.087605;0.335800;0.214798;0.690739;0.681167;0.936227;0.060390;0.150445;0.055090;0.561460;0.400788;0.056043;0.576118;0.550798;0.804829;0.528480;0.834688;0.211780;0.617122;3.189758;0.546774;0.260832;0.102869;2.890470;0.029426;0.526584;0.872543;0.606144;0.454354;3.469942;0.555400;0.168466;0.863339;0.047094;0.965875;0.637296;0.045063;0.420690;0.475879;0.052319;0.030440;0.378806;0.409863;0.243802;0.493713;0.484225;0.324130;3.652455;0.505045;0.543627;0.251100;0.467350
67580.166667;1.101275;3.115414;0.585540;3.087611;0.335800;0.214798;0.690740;0.681168;0.936229;0.060390;0.150445;0.055090;0.561461;0.400789;0.056043;0.576119;0.550799;0.804831;0.528481;0.834690;0.211781;0.617124;3.189765;0.546775;0.260832;0.102869;2.890477;0.029426;0.526585;0.872545;0.606145;0.454355;3.469950;0.555401;0.168467;0.863341;0.047094;0.965878;0.637297;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409864;0.243803;0.493715;0.484226;0.324131;3.652464;0.505046;0.543628;0.251101;0.467351
67580.266667;1.101274;3.115413;0.585540;3.087610;0.335800;0.214798;0.690740;0.681168;0.936229;0.060390;0.150445;0.055090;0.561461;0.400788;0.056043;0.576119;0.550799;0.804831;0.528481;0.834690;0.211781;0.617123;3.189764;0.546775;0.260832;0.102869;2.890475;0.029426;0.526585;0.872545;0.606145;0.454355;3.469948;0.555401;0.168467;0.863341;0.047094;0.965877;0.637297;0.045063;0.420691;0.475880;0.052319;0.030440;0.378806;0.409864;0.243802;0.493714;0.484226;0.324130;3.652462;0.505046;0.543628;0.251101;0.467351
67580.366667;1.101275;3.115416;0.585541;3.087613;0.335800;0.214798;0.690741;0.681169;0.936230;0.060390;0.150445;0.055090;0.561462;0.400789;0.056043;0.576120;0.550800;0.804832;0.528481;0.834691;0.211781;0.617124;3.189769;0.546776;0.260833;0.102869;2.890480;0.029426;0.526586;0.872546;0.606146;0.454355;3.469954;0.555402;0.168467;0.863342;0.047094;0.965879;0.637298;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484227;0.324131;3.652469;0.505047;0.543629;0.251101;0.467352
67580.466667;1.101275;3.115416;0.585541;3.087614;0.335800;0.214798;0.690741;0.681169;0.936230;0.060390;0.150445;0.055090;0.561462;0.400789;0.056043;0.576120;0.550800;0.804832;0.528481;0.834691;0.211781;0.617124;3.189769;0.546776;0.260833;0.102869;2.890480;0.029426;0.526586;0.872546;0.606146;0.454355;3.469954;0.555402;0.168467;0.863342;0.047094;0.965879;0.637298;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484227;0.324131;3.652469;0.505047;0.543629;0.251101;0.467352
67580.566667;1.101275;3.115416;0.585541;3.087613;0.335800;0.214798;0.690741;0.681169;0.936230;0.060390;0.150445;0.055090;0.561462;0.400789;0.056043;0.576120;0.550800;0.804832;0.528481;0.834691;0.211781;0.617124;3.189769;0.546776;0.260833;0.102869;2.890480;0.029426;0.526585;0.872546;0.606146;0.454355;3.469954;0.555402;0.168467;0.863342;0.047094;0.965879;0.637298;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484227;0.324131;3.652469;0.505046;0.543629;0.251101;0.467352
67580.666667;1.101275;3.115415;0.585540;3.087613;0.335800;0.214798;0.690741;0.681169;0.936230;0.060390;0.150445;0.055090;0.561461;0.400789;0.056043;0.576120;0.550800;0.804832;0.528481;0.834691;0.211781;0.617124;3.189768;0.546776;0.260832;0.102869;2.890479;0.029426;0.526585;0.872546;0.606146;0.454355;3.469953;0.555401;0.168467;0.863342;0.047094;0.965879;0.637298;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484227;0.324131;3.652468;0.505046;0.543629;0.251101;0.467351
67580.766667;1.101275;3.115415;0.585540;3.087612;0.335800;0.214798;0.690741;0.681169;0.936230;0.060390;0.150445;0.055090;0.561461;0.400789;0.056043;0.576120;0.550799;0.804832;0.528481;0.834691;0.211781;0.617124;3.189768;0.546776;0.260832;0.102869;2.890479;0.029426;0.526585;0.872546;0.606146;0.454355;3.469952;0.555401;0.168467;0.863342;0.047094;0.965879;0.637298;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484227;0.324131;3.652467;0.505046;0.543629;0.251101;0.467351
67580.866667;1.101275;3.115415;0.585540;3.087612;0.335800;0.214798;0.690741;0.681169;0.936230;0.060390;0.150445;0.055090;0.561461;0.400789;0.056043;0.576120;0.550799;0.804832;0.528481;0.834691;0.211781;0.617124;3.189767;0.546776;0.260832;0.102869;2.890478;0.029426;0.526585;0.872546;0.606146;0.454355;3.469952;0.555401;0.168467;0.863342;0.047094;0.965878;0.637297;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484226;0.324131;3.652467;0.505046;0.543629;0.251101;0.467351
67580.966667;1.101275;3.115415;0.585540;3.087612;0.335800;0.214798;0.690741;0.681169;0.936229;0.060390;0.150445;0.055090;0.561461;0.400789;0.056043;0.576120;0.550799;0.804831;0.528481;0.834690;0.211781;0.617124;3.189767;0.546776;0.260832;0.102869;2.890478;0.029426;0.526585;0.872546;0.606146;0.454355;3.469952;0.555401;0.168467;0.863342;0.047094;0.965878;0.637297;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484226;0.324131;3.652466;0.505046;0.543629;0.251101;0.467351
67581.000000;1.101275;3.115415;0.585540;3.087612;0.335800;0.214798;0.690741;0.681169;0.936229;0.060390;0.150445;0.055090;0.561461;0.400789;0.056043;0.576120;0.550799;0.804831;0.528481;0.834690;0.211781;0.617124;3.189767;0.546776;0.260832;0.102869;2.890478;0.029426;0.526585;0.872546;0.606146;0.454355;3.469952;0.555401;0.168467;0.863342;0.047094;0.965878;0.637297;0.045063;0.420692;0.475881;0.052319;0.030440;0.378807;0.409865;0.243803;0.493715;0.484226;0.324131;3.652466;0.505046;0.543629;0.251101;0.467351
